Codigo;Descricao;Categoria;Armazem;Mes;Pedido;Vendedor;Unidades;Valor
104937;INVERSOR ON-GRID MONOFASICO 5kW 220V 2 MPPT GT1-5KD2R11008;Inversor;MANAUS;February;;;4;6200
104937;INVERSOR ON-GRID MONOFASICO 5kW 220V 2 MPPT GT1-5KD2R11008;Inversor;MANAUS;March;;;170;245700
104937;INVERSOR ON-GRID MONOFASICO 5kW 220V 2 MPPT GT1-5KD2R11008;Inversor;MANAUS;April;;;1;1750
104937;INVERSOR ON-GRID MONOFASICO 5kW 220V 2 MPPT GT1-5KD2R11008;Inversor;MANAUS;May;;;143;219820
104937;INVERSOR ON-GRID MONOFASICO 5kW 220V 2 MPPT GT1-5KD2R11008;Inversor;MANAUS;June;;;878;1269796.98
104938;INVERSOR ON-GRID MONOFASICO 6kW 220V 2 MPPT GT1-6KD2R11008;Inversor;MANAUS;January;;;80;120960
104938;INVERSOR ON-GRID MONOFASICO 6kW 220V 2 MPPT GT1-6KD2R11008;Inversor;MANAUS;February;;;4;6800
104938;INVERSOR ON-GRID MONOFASICO 6kW 220V 2 MPPT GT1-6KD2R11008;Inversor;MANAUS;March;;;250;296989.5
104938;INVERSOR ON-GRID MONOFASICO 6kW 220V 2 MPPT GT1-6KD2R11008;Inversor;MANAUS;May;;;144;226152
104938;INVERSOR ON-GRID MONOFASICO 6kW 220V 2 MPPT GT1-6KD2R11008;Inversor;MANAUS;June;;;435;704916.22
105396;INVERSOR ON-GRID MONOFASICO 10KW 220V 3MPPT GT1-10KT2R11004;Inversor;MANAUS;January;;;80;187280
105396;INVERSOR ON-GRID MONOFASICO 10KW 220V 3MPPT GT1-10KT2R11004;Inversor;MANAUS;February;;;34;85800
105396;INVERSOR ON-GRID MONOFASICO 10KW 220V 3MPPT GT1-10KT2R11004;Inversor;MANAUS;March;;;235;472586
105396;INVERSOR ON-GRID MONOFASICO 10KW 220V 3MPPT GT1-10KT2R11004;Inversor;MANAUS;May;;;134;315740
105396;INVERSOR ON-GRID MONOFASICO 10KW 220V 3MPPT GT1-10KT2R11004;Inversor;MANAUS;June;;;236;557818.76
105420;INVERSOR ON-GRID MONOFASICO 7,5KW 220V 3MPPT GT1-7K5T2R11002;Inversor;MANAUS;January;;;50;81350
105420;INVERSOR ON-GRID MONOFASICO 7,5KW 220V 3MPPT GT1-7K5T2R11002;Inversor;MANAUS;February;;;4;8600
105420;INVERSOR ON-GRID MONOFASICO 7,5KW 220V 3MPPT GT1-7K5T2R11002;Inversor;MANAUS;March;;;153;264100
105420;INVERSOR ON-GRID MONOFASICO 7,5KW 220V 3MPPT GT1-7K5T2R11002;Inversor;MANAUS;May;;;112;189680
105420;INVERSOR ON-GRID MONOFASICO 7,5KW 220V 3MPPT GT1-7K5T2R11002;Inversor;MANAUS;June;;;334;605380.94
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;CURITIBA;February;;;5;8749.983375
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;CURITIBA;March;;;4;7959.9919
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;CURITIBA;April;;;33;69150.017875
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;CURITIBA;May;;;17;30199.984325
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;FORTALEZA;May;;;10;22000.0021
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;MANAUS;February;;;2;5599.99375
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;MANAUS;April;;;1;2799.996875
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;MANAUS;May;;;3;8399.996875
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;MANAUS;June;;;2;5102.5
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);Inversor;MANAUS;August;;;339;606225
